Results:
python3 model_dwell_time/tune_lgbm_unstable.py \
  --csv /home/ubuntu/cs297/ns-allinone-3.36/ns-3.36/Datasets/ho_train_45k_labeled.csv \
  --outdir /home/ubuntu/cs297/ns-allinone-3.36/ns-3.36/model_dwell_time/model_results/lgbm_45k_tuned \
  --test-size 0.2 \
  --random-state 42
trial=65/1728 pr_auc=0.200773 roc_auc=0.858633 f1@0.5=0.187414 params={'num_leaves': 15, 'max_depth': 3, 'min_child_samples': 10, 'learning_rate': 0.05, 'n_estimators': 200, 'subsample': 1.0, 'colsample_bytree': 0.8, 'reg_lambda': 1.0, 'reg_alpha': 0.0} scale_pos_weight=23.6807
trial=66/1728 pr_auc=0.202525 roc_auc=0.859414 f1@0.5=0.171813 params={'num_leaves': 15, 'max_depth': 3, 'min_child_samples': 10, 'learning_rate': 0.05, 'n_estimators': 200, 'subsample': 1.0, 'colsample_bytree': 0.8, 'reg_lambda': 1.0, 'reg_alpha': 0.0} scale_pos_weight=29.6009
trial=67/1728 pr_auc=0.199639 roc_auc=0.862311 f1@0.5=0.212987 params={'num_leaves': 15, 'max_depth': 3, 'min_child_samples': 10, 'learning_rate': 0.05, 'n_estimators': 200, 'subsample': 1.0, 'colsample_bytree': 1.0, 'reg_lambda': 0.0, 'reg_alpha': 0.0} scale_pos_weight=17.7605
trial=68/1728 pr_auc=0.198655 roc_auc=0.861452 f1@0.5=0.192529 params={'num_leaves': 15, 'max_depth': 3, 'min_child_samples': 10, 'learning_rate': 0.05, 'n_estimators': 200, 'subsample': 1.0, 'colsample_bytree': 1.0, 'reg_lambda': 0.0, 'reg_alpha': 0.0} scale_pos_weight=23.6807
trial=69/1728 pr_auc=0.200293 roc_auc=0.859373 f1@0.5=0.171996 params={'num_leaves': 15, 'max_depth': 3, 'min_child_samples': 10, 'learning_rate': 0.05, 'n_estimators': 200, 'subsample': 1.0, 'colsample_bytree': 1.0, 'reg_lambda': 0.0, 'reg_alpha': 0.0} scale_pos_weight=29.6009
trial=70/1728 pr_auc=0.200080 roc_auc=0.861666 f1@0.5=0.211201 params={'num_leaves': 15, 'max_depth': 3, 'min_child_samples': 10, 'learning_rate': 0.05, 'n_estimators': 200, 'subsample': 1.0, 'colsample_bytree': 1.0, 'reg_lambda': 1.0, 'reg_alpha': 0.0} scale_pos_weight=17.7605
trial=71/1728 pr_auc=0.200327 roc_auc=0.859820 f1@0.5=0.192184 params={'num_leaves': 15, 'max_depth': 3, 'min_child_samples': 10, 'learning_rate': 0.05, 'n_estimators': 200, 'subsample': 1.0, 'colsample_bytree': 1.0, 'reg_lambda': 1.0, 'reg_alpha': 0.0} scale_pos_weight=23.6807
trial=72/1728 pr_auc=0.201993 roc_auc=0.859981 f1@0.5=0.173640 params={'num_leaves': 15, 'max_depth': 3, 'min_child_samples': 10, 'learning_rate': 0.05, 'n_estimators': 200, 'subsample': 1.0, 'colsample_bytree': 1.0, 'reg_lambda': 1.0, 'reg_alpha': 0.0} scale_pos_weight=29.6009
trial=73/1728 pr_auc=0.203471 roc_auc=0.862950 f1@0.5=0.218406 params={'num_leaves': 15, 'max_depth': 3, 'min_child_samples': 10, 'learning_rate': 0.05, 'n_estimators': 400, 'subsample': 0.8, 'colsample_bytree': 0.8, 'reg_lambda': 0.0, 'reg_alpha': 0.0} scale_pos_weight=17.7605
trial=74/1728 pr_auc=0.208622 roc_auc=0.863365 f1@0.5=0.198883 params={'num_leaves': 15, 'max_depth': 3, 'min_child_samples': 10, 'learning_rate': 0.05, 'n_estimators': 400, 'subsample': 0.8, 'colsample_bytree': 0.8, 'reg_lambda': 0.0, 'reg_alpha': 0.0} scale_pos_weight=23.6807
trial=75/1728 pr_auc=0.201303 roc_auc=0.862583 f1@0.5=0.183824 params={'num_leaves': 15, 'max_depth': 3, 'min_child_samples': 10, 'learning_rate': 0.05, 'n_estimators': 400, 'subsample': 0.8, 'colsample_bytree': 0.8, 'reg_lambda': 0.0, 'reg_alpha': 0.0} scale_pos_weight=29.6009
trial=76/1728 pr_auc=0.203418 roc_auc=0.863181 f1@0.5=0.218959 params={'num_leaves': 15, 'max_depth': 3, 'min_child_samples': 10, 'learning_rate': 0.05, 'n_estimators': 400, 'subsample': 0.8, 'colsample_bytree': 0.8, 'reg_lambda': 1.0, 'reg_alpha': 0.0} scale_pos_weight=17.7605
trial=77/1728 pr_auc=0.201258 roc_auc=0.861879 f1@0.5=0.200000 params={'num_leaves': 15, 'max_depth': 3, 'min_child_samples': 10, 'learning_rate': 0.05, 'n_estimators': 400, 'subsample': 0.8, 'colsample_bytree': 0.8, 'reg_lambda': 1.0, 'reg_alpha': 0.0} scale_pos_weight=23.6807
trial=78/1728 pr_auc=0.204529 roc_auc=0.863541 f1@0.5=0.182300 params={'num_leaves': 15, 'max_depth': 3, 'min_child_samples': 10, 'learning_rate': 0.05, 'n_estimators': 400, 'subsample': 0.8, 'colsample_bytree': 0.8, 'reg_lambda': 1.0, 'reg_alpha': 0.0} scale_pos_weight=29.6009
